review_text,date,rating,verified_purchase,platform,brand,product_name,price,clean_text,tokens,token_count,month,price_signal,price_signal_score,brand_perception,price_keywords,brand_keywords,vader_compound,vader_positive,vader_neutral,vader_negative,vader_label,transformer_label,transformer_score,transformer_confidence,transformer_source,sentiment_label,sentiment_score
"LG mixer grinder works smoothly, premium finish and trusted brand",2025-10-05,5,True,Flipkart,LG,Mixer Grinder,3499,lg mixer grinder works smoothly premium finish and trusted brand,"['mixer', 'grinder', 'works', 'smoothly', 'premium', 'finish', 'trusted', 'brand']",8,2025-10,no_signal,0,brand_positive,[],"['premium', 'trusted brand']",0.4767,0.256,0.744,0.0,positive,,,,unavailable,positive,0.4767
Motor became noisy after ten days and service support was slow,2025-10-12,2,True,Amazon India,LG,Mixer Grinder,3499,motor became noisy after ten days and service support was slow,"['motor', 'noisy', 'days', 'service', 'support', 'slow']",6,2025-10,no_signal,0,neutral_brand_signal,[],[],0.25,0.201,0.672,0.127,positive,,,,unavailable,positive,0.25
Pigeon cookware set is budget friendly and paisa vasool for students,2025-10-19,4,True,Amazon India,Pigeon,Cookware Set,1599,pigeon cookware set is budget friendly and paisa vasool for students,"['pigeon', 'cookware', 'set', 'budget', 'friendly', 'paisa', 'vasool', 'students']",8,2025-10,value_positive,2,neutral_brand_signal,"['budget', 'paisa vasool']",[],0.4939,0.242,0.758,0.0,positive,,,,unavailable,positive,0.4939
"Coating started peeling, now I feel the deal was not worth it",2025-10-27,2,True,Flipkart,Pigeon,Cookware Set,1599,coating started peeling now i feel the deal was not worth it,"['coating', 'started', 'peeling', 'feel', 'deal', 'worth']",6,2025-10,value_positive,1,neutral_brand_signal,"['deal', 'not worth', 'worth']",[],-0.1695,0.0,0.868,0.132,negative,,,,unavailable,negative,-0.1695
JBL speaker has mast sound quality and feels authentic,2025-11-03,5,True,Amazon India,JBL,Bluetooth Speaker,2999,jbl speaker has mast sound quality and feels authentic,"['jbl', 'speaker', 'mast', 'sound', 'quality', 'feels', 'authentic']",7,2025-11,no_signal,0,brand_positive,[],['authentic'],0.0,0.0,1.0,0.0,neutral,,,,unavailable,neutral,0.0
Bass is great but price is high unless there is a festival discount,2025-11-10,4,True,Flipkart,JBL,Bluetooth Speaker,2999,bass is great but price is high unless there is a festival discount,"['bass', 'great', 'price', 'high', 'unless', 'festival', 'discount']",7,2025-11,value_positive,1,neutral_brand_signal,['discount'],[],0.7814,0.384,0.616,0.0,positive,,,,unavailable,positive,0.7814
Cello bottle arrived broken and cap quality is bad,2025-11-16,1,True,Amazon India,Cello,Steel Water Bottle,499,cello bottle arrived broken and cap quality is bad,"['cello', 'bottle', 'arrived', 'broken', 'cap', 'quality', 'bad']",7,2025-11,no_signal,0,neutral_brand_signal,[],[],-0.765,0.0,0.515,0.485,negative,,,,unavailable,negative,-0.765
Bought again because Cello is reliable and long lasting,2025-11-22,5,True,Flipkart,Cello,Steel Water Bottle,499,bought again because cello is reliable and long lasting,"['bought', 'cello', 'reliable', 'long', 'lasting']",5,2025-11,no_signal,0,brand_positive,[],['reliable'],0.0,0.0,1.0,0.0,neutral,,,,unavailable,neutral,0.0
Noise smart watch looks stylish but feels fake and software is unreliable,2025-12-01,2,False,Amazon India,Noise,ColorFit Smart Watch,2499,noise smart watch looks stylish but feels fake and software is unreliable,"['noise', 'smart', 'watch', 'looks', 'stylish', 'feels', 'fake', 'software', 'unreliable']",9,2025-12,no_signal,0,brand_risk,[],"['fake', 'reliable', 'unreliable']",-0.5106,0.116,0.625,0.259,negative,,,,unavailable,negative,-0.5106
"Great display and very affordable during sale, overall worth buying",2025-12-09,4,True,Flipkart,Noise,ColorFit Smart Watch,2499,great display and very affordable during sale overall worth buying,"['great', 'display', 'affordable', 'sale', 'overall', 'worth', 'buying']",7,2025-12,value_positive,2,neutral_brand_signal,"['affordable', 'worth']",[],0.7184,0.429,0.571,0.0,positive,,,,unavailable,positive,0.7184
"Boat neckband is my repeat purchase, strong battery and solid brand trust",2025-12-17,5,True,Amazon India,boAt,Neckband Rockerz,1799,boat neckband is my repeat purchase strong battery and solid brand trust,"['boat', 'neckband', 'repeat', 'purchase', 'strong', 'battery', 'solid', 'brand', 'trust']",9,2025-12,no_signal,0,brand_positive,[],['repeat purchase'],0.802,0.477,0.523,0.0,positive,,,,unavailable,positive,0.802
"Price increased too much this month, still okay but not a great deal now",2026-01-05,3,True,Amazon India,boAt,Neckband Rockerz,1799,price increased too much this month still okay but not a great deal now,"['price', 'increased', 'month', 'okay', 'great', 'deal']",6,2026-01,value_positive,1,neutral_brand_signal,['deal'],[],-0.5332,0.163,0.596,0.241,negative,,,,unavailable,negative,-0.5332
Redmi phone became smoother after update and now feels like a smart budget buy,2026-01-12,4,True,Flipkart,Redmi,Redmi 13C,9499,redmi phone became smoother after update and now feels like a smart budget buy,"['redmi', 'phone', 'smoother', 'update', 'feels', 'like', 'smart', 'budget']",8,2026-01,value_positive,1,neutral_brand_signal,['budget'],[],0.6369,0.302,0.698,0.0,positive,,,,unavailable,positive,0.6369
Still seeing heating issues and camera is average for this cost,2026-01-21,3,True,Amazon India,Redmi,Redmi 13C,9499,still seeing heating issues and camera is average for this cost,"['seeing', 'heating', 'issues', 'camera', 'average', 'cost']",6,2026-01,no_signal,0,neutral_brand_signal,[],[],0.0,0.0,1.0,0.0,neutral,,,,unavailable,neutral,0.0
"Prestige cookware quality has improved, good finish and worthy brand",2026-02-04,4,True,Amazon India,Prestige,Cookware Combo,2599,prestige cookware quality has improved good finish and worthy brand,"['prestige', 'cookware', 'quality', 'improved', 'good', 'finish', 'worthy', 'brand']",8,2026-02,value_positive,1,neutral_brand_signal,['worth'],[],0.836,0.56,0.44,0.0,positive,,,,unavailable,positive,0.836
The lid was bent and this original looking set still feels costly,2026-02-13,2,True,Flipkart,Prestige,Cookware Combo,2599,the lid was bent and this original looking set still feels costly,"['lid', 'bent', 'original', 'looking', 'set', 'feels', 'costly']",7,2026-02,price_concern,-1,brand_positive,['costly'],['original'],0.3016,0.187,0.713,0.1,positive,,,,unavailable,positive,0.3016
"Samsung charger is compact, authentic and definitely worth the money",2026-02-21,5,True,Amazon India,Samsung,25W Charger,1299,samsung charger is compact authentic and definitely worth the money,"['samsung', 'charger', 'compact', 'authentic', 'definitely', 'worth', 'money']",7,2026-02,value_positive,1,brand_positive,['worth'],['authentic'],0.5574,0.365,0.635,0.0,positive,,,,unavailable,positive,0.5574
Expensive for a charger and cable quality is just average,2026-03-02,2,True,Flipkart,Samsung,25W Charger,1299,expensive for a charger and cable quality is just average,"['expensive', 'charger', 'cable', 'quality', 'just', 'average']",6,2026-03,price_concern,-1,neutral_brand_signal,['expensive'],[],0.0,0.0,1.0,0.0,neutral,,,,unavailable,neutral,0.0
"LG washing machine is silent, premium and service engineer was helpful",2026-03-11,5,True,Amazon India,LG,Top Load Washing Machine,22499,lg washing machine is silent premium and service engineer was helpful,"['washing', 'machine', 'silent', 'premium', 'service', 'engineer', 'helpful']",7,2026-03,no_signal,0,brand_positive,[],['premium'],0.4215,0.219,0.781,0.0,positive,,,,unavailable,positive,0.4215
Installation took too long and the machine had a dent on arrival,2026-03-19,2,True,Flipkart,LG,Top Load Washing Machine,22499,installation took too long and the machine had a dent on arrival,"['installation', 'took', 'long', 'machine', 'dent', 'arrival']",6,2026-03,no_signal,0,neutral_brand_signal,[],[],0.0,0.0,1.0,0.0,neutral,,,,unavailable,neutral,0.0
